drug_id,drug_CID,drug_smile
219,CID100005291,CCOC1=C(C=C(C=C1)CNC(=O)C(C)SC2=CC=C(C=C2)C)OCC
220,CID100005391,CC(C)(C)OC(=O)NC1(C(C1S(=O)(=O)C)C2=CC3=C(C=C2)OCO3)C=O
221,CID100005394,CCOC1=CC=C(C=C1)CCCNC(=O)C(C)SC2=CC=C(C=C2)C
222,CID100005401,CC1=C(C2=C(C=C1)NC(=N2)CCC(=O)NC(C)CC3=NC=CN=C3)C
223,CID100005426,CC(C)C(CO)NC(=O)C1CC(=O)N(C1)CC2=CC=CC=C2
224,CID100005496,CC1=CC=C(C=C1)SC(C)C(=O)NC(C)C2=CC(=C(C=C2)C)C
225,CID100005512,CCC(C1=CC(=C(C=C1)C)C)NC(=O)C(C)SC2=CC=C(C=C2)C
226,CID100005523,CCC(C1=C(C=C(C=C1)C)C)NC(=O)C(C)SC2=CC=C(C=C2)C
227,CID100005544,CSCCC(CO)NC(=O)C1CCN(CC1)C2=NC=CC=N2
228,CID100005556,CCC1=NC=CN1CC(=O)N2CCCCC2CCN3C=CC=N3
229,CID100005647,C1CCC2=C(C1)C=CC(=C2)C(=O)N3CCCC(C3)C4=NC=NC=C4
230,CID100005650,CC1=CC=C(C=C1)SC(C)C(=O)NCCCN2CCCC3=CC=CC=C32
231,CID100005656,CN1C(=CC=N1)C(C2=NN3CCN(CC3=C2)CC4=NN=C(S4)OC)O
232,CID100005672,CC1=C(C(=NO1)C)C2CCCN2C(=O)C3=CC4=C(C=C3)NC(=O)C(=O)N4
233,CID100005735,CC1=C(SC2=NCCN12)C(=O)N3CCCC(C3)C4=CC=C(C=C4)Cl
